num_sensitive,bm_size,r,p_degree,KLD_value,KLD_exec_time,CAHD_exec_time
4,1000,4,10,0.006269613013595395,3.1031394004821777,40.042988538742065
4,1000,4,10,0.12473099330689413,6.180765151977539,40.042988538742065
4,1000,4,10,0.0,9.327852964401245,40.042988538742065
4,1000,4,10,0.0,12.463679552078247,40.042988538742065
4,1000,4,10,0.0,15.592733144760132,40.042988538742065
6,1000,4,10,0.1570581296823723,4.9194495677948,52.87447667121887
6,1000,4,10,0.9103637003376215,9.593168020248413,52.87447667121887
6,1000,4,10,0.0,14.140925168991089,52.87447667121887
6,1000,4,10,0.0,18.69813108444214,52.87447667121887
6,1000,4,10,0.0,23.23989462852478,52.87447667121887
8,1000,4,10,0.1570581296823723,7.474303245544434,66.84573221206665
8,1000,4,10,0.946253440509601,14.226414918899536,66.84573221206665
8,1000,4,10,0.0,21.021035194396973,66.84573221206665
8,1000,4,10,0.0,27.846199989318848,66.84573221206665
8,1000,4,10,0.0,34.66004538536072,66.84573221206665
10,1000,4,10,0.0,9.88575530052185,85.28457069396973
10,1000,4,10,0.14283971513324267,19.539663314819336,85.28457069396973
10,1000,4,10,0.030708686319196352,28.831074714660645,85.28457069396973
10,1000,4,10,0.14283971513324267,38.13331365585327,85.28457069396973
10,1000,4,10,0.016319948867096902,47.77971339225769,85.28457069396973
12,1000,4,10,0.3439130951218077,11.362502336502075,98.55580043792725
12,1000,4,10,0.18237593766666207,22.808064222335815,98.55580043792725
12,1000,4,10,0.0,34.089542627334595,98.55580043792725
12,1000,4,10,0.3183750133744389,45.42413640022278,98.55580043792725
12,1000,4,10,0.0,56.84252619743347,98.55580043792725
14,1000,4,10,0.590885179598324,17.624531984329224,123.93238663673401
14,1000,4,10,0.8850507453764737,35.789958000183105,123.93238663673401
14,1000,4,10,0.14730250619287158,53.752909898757935,123.93238663673401
14,1000,4,10,1.4373079787220673,72.02915167808533,123.93238663673401
14,1000,4,10,0.020202707317519254,90.47569537162781,123.93238663673401
16,1000,4,10,0.4542181110988973,22.6981098651886,169.51742243766785
16,1000,4,10,0.0461503390757334,43.84806966781616,169.51742243766785
16,1000,4,10,0.82336259915743,64.44039964675903,169.51742243766785
16,1000,4,10,0.14655964234000465,85.43786478042603,169.51742243766785
16,1000,4,10,0.18966227939496014,107.56081748008728,169.51742243766785
18,1000,4,10,0.1477301318936536,24.322662591934204,193.01766800880432
18,1000,4,10,0.024618751681791794,48.41730737686157,193.01766800880432
18,1000,4,10,0.026967519658959417,72.34156894683838,193.01766800880432
18,1000,4,10,0.0,96.11210179328918,193.01766800880432
18,1000,4,10,0.0,119.67116737365723,193.01766800880432
20,1000,4,10,0.31280220608556897,27.784196615219116,202.60486602783203
20,1000,4,10,0.0,55.38593125343323,202.60486602783203
20,1000,4,10,1.4355124049660029,82.69347500801086,202.60486602783203
20,1000,4,10,0.18576677770738884,110.38007807731628,202.60486602783203
20,1000,4,10,2.5185266417711416,138.02208399772644,202.60486602783203
