num_sensitive,bm_size,r,p_degree,KLD_value,KLD_exec_time,CAHD_exec_time
4,1000,4,20,0.003129893008927787,3.1271660327911377,117.19082307815552
4,1000,4,20,0.09915762248675897,5.978943824768066,117.19082307815552
4,1000,4,20,0.0,8.680831670761108,117.19082307815552
4,1000,4,20,0.0,11.316757202148438,117.19082307815552
4,1000,4,20,0.0,14.427040815353394,117.19082307815552
6,1000,4,20,0.21552966391814082,5.254331827163696,140.7570161819458
6,1000,4,20,1.386365434774473,10.374322414398193,140.7570161819458
6,1000,4,20,0.0,15.826002359390259,140.7570161819458
6,1000,4,20,0.0,22.629850387573242,140.7570161819458
6,1000,4,20,0.0,28.862457036972046,140.7570161819458
8,1000,4,20,0.21552966391814082,6.4484333992004395,179.30842065811157
8,1000,4,20,1.468754913480002,12.875840187072754,179.30842065811157
8,1000,4,20,0.0,19.073489904403687,179.30842065811157
8,1000,4,20,0.0,25.300711393356323,179.30842065811157
8,1000,4,20,0.0,31.49203610420227,179.30842065811157
10,1000,4,20,0.005012541823544414,7.999772787094116,171.9544939994812
10,1000,4,20,0.2254647258303958,16.467140197753906,171.9544939994812
10,1000,4,20,0.01845064431575231,25.31539511680603,171.9544939994812
10,1000,4,20,0.23494346978493977,33.19465470314026,171.9544939994812
10,1000,4,20,0.04290913201469438,42.17196846008301,171.9544939994812
12,1000,4,20,0.22020974428382722,13.739974737167358,242.79483485221863
12,1000,4,20,0.22896776641034872,29.001038312911987,242.79483485221863
12,1000,4,20,0.0,42.500324010849,242.79483485221863
12,1000,4,20,0.4841873419371767,55.61822509765625,242.79483485221863
12,1000,4,20,0.0,68.49921798706055,242.79483485221863
14,1000,4,20,0.6483691427660151,16.09088659286499,280.2630488872528
14,1000,4,20,0.8963515169424474,31.76978373527527,280.2630488872528
14,1000,4,20,0.1580130691310536,50.70410513877869,280.2630488872528
14,1000,4,20,1.9775652936295474,65.69012308120728,280.2630488872528
14,1000,4,20,0.0315874209978854,78.39325857162476,280.2630488872528
16,1000,4,20,0.6787977293532376,16.14946484565735,261.01704621315
16,1000,4,20,0.17056247641050226,32.34229040145874,261.01704621315
16,1000,4,20,1.1032381509781146,48.47579908370972,261.01704621315
16,1000,4,20,0.041905519379394275,64.45952439308167,261.01704621315
16,1000,4,20,0.22691553293250305,80.60022473335266,261.01704621315
18,1000,4,20,0.1543931378934742,22.576698303222656,292.1645667552948
18,1000,4,20,0.03774725408856302,43.4768385887146,292.1645667552948
18,1000,4,20,0.017613473902688706,64.59678840637207,292.1645667552948
18,1000,4,20,0.0,85.92587852478027,292.1645667552948
18,1000,4,20,0.0045558165358608824,106.73097038269043,292.1645667552948
20,1000,4,20,0.48579076147933725,20.52882218360901,337.40623354911804
20,1000,4,20,0.0,40.26494002342224,337.40623354911804
20,1000,4,20,1.7693718527356805,60.00679588317871,337.40623354911804
20,1000,4,20,0.18944663466578937,79.63674688339233,337.40623354911804
20,1000,4,20,3.252655459554569,99.25941038131714,337.40623354911804
